NUM,GROUP_NAME,DESC_KOR,SERVING_SIZE,NUTR_CONT1,NUTR_CONT2,NUTR_CONT3,NUTR_CONT4,NUTR_CONT5,NUTR_CONT6,NUTR_CONT7,NUTR_CONT8,NUTR_CONT9
번호,식품군,식품이름,총내용량,열량(kcal)(1회제공량당),탄수화물(g)(1회제공량당),단백질(g)(1회제공량당),지방(g)(1회제공량당),당류(g)(1회제공량당),나트륨(mg)(1회제공량당),콜레스테롤(mg)(1회제공량당),포화지방산(g)(1회제공량당),트랜스지방(g)(1회제공량당)
1,구이류,꿩불고기,500,368.8,39.7,33.5,8.5,16.9,1264.31,106.18,1.9,0.1
2,구이류,닭갈비,400,595.61,44.9,45.9,25.8,21.2,1535.83,193.4,6,0.2
3,구이류,닭갈비,300,558.47,23.1,45.5,31.6,8.5,1016.94,217.67,11.3,0.3
4,구이류,닭꼬치,70,176.72,13.35,11.56,8.57,3.15,286.91,31.44,2.32,0.04
5,구이류,더덕구이,100,184,31.1,3.1,5.2,11.6,743.37,0.12,0.8,0
6,구이류,도미구이,250,397,2.1,61.1,16.5,0,1582.17,211.24,3.8,0.1
7,구이류,돼지갈비,100,240.32,8.1,19.5,14.4,4.5,404.66,49.34,4.7,0.1
8,구이류,병어구이,250,488,0.2,54.6,30.8,0,1567.94,198.51,8.9,0.2
9,구이류,불고기,150,395.29,7.8,34.4,25.2,7.9,560.71,68.85,6.6,0.4
10,구이류,붕장어소금구이,100,296.54,11.6,26,16.2,0.4,124.75,167.07,3.6,0.2
11,구이류,소양념갈비구이,300,989.15,26.2,60.1,71.6,13.9,1378.45,186.63,27.2,3.5
12,구이류,양념왕갈비,150,480.81,13.7,27.1,35.3,6.8,548.76,58.52,13,2.2
13,구이류,양념장어구이,150,433.35,8.8,30.77,30.56,4.18,704.64,215.24,7.11,0.27
14,구이류,임연수구이,250,494,3.5,53.8,29.4,0,1568.96,212.61,6.1,1.7
15,구이류,짚불구이곰장어,200,326.21,2.3,42.7,16.2,1.2,826.79,341.83,2.8,0.1
16,구이류,햄버그스테이크,200,457.7,20.76,26.96,29.65,5.33,950.22,70.28,9.41,0.32
17,구이류,황태구이,200,437.57,26.9,47.8,15.4,14.2,1135.33,211.58,2.4,0.1
18,구이류,훈제오리,250,797.14,12.08,43.06,64.07,0.27,1220.37,171,15.98,0.39
19,국류,게국지,1100,415.25,31.7,44.9,12.1,10.8,4047.26,388.15,2,0.2
20,국류,곰치국,1000,419.29,23.9,54.3,11.8,2.8,3802.06,476.47,1.4,0.1
21,국류,굴국밥,650,683,88.4,42.4,17.8,0.3,1635.39,518.37,3.9,0.1
22,국류,김치국,450,89,10.5,5.4,2.8,2.9,1642.08,0,0.3,0
23,국류,떡만둣국,700,624.92,110.71,20.06,11.32,0.16,1980.19,122.42,3.44,0.08
24,국류,만둣국,700,434.05,47.83,21.43,17.45,3.05,2367.99,94.52,4.24,0.05
25,국류,맑은감자국,700,221,34.6,8.3,5.5,5.2,1712.29,5.46,0.2,0
26,국류,매생이국,500,119,13.4,10,2.8,0.4,1420.3,6.62,0.6,0.1
27,국류,무된장국,450,104,14.7,6.1,2.4,5.9,1741.46,0,0.3,0
28,국류,미소된장국,150,38,2.8,2.8,1.8,0.7,517.03,0,0.2,0
29,국류,바지락조개국,550,157,10.1,22,3.1,1.3,1596.17,89.36,0.6,0
30,국류,뼈다귀해장국,1000,714,23.4,74.6,35.7,5.7,3088.21,321.72,14.3,0.1
31,국류,선지해장국,1000,312,16.7,49.3,5.4,3.9,3074.53,230.52,2.7,0.1
32,국류,소고기무국,400,123,7.8,14.2,4,3.5,1067.02,38.43,1.3,0.1
33,국류,소고기미역국,650,151,7.7,18.1,5.3,0,1908.91,42.18,2,0.1
34,국류,순대국,800,540.3,17.26,43.52,33.02,0,1504.04,246,10.98,0.16
35,국류,시래기된장국,450,99,11,6.7,3.1,1.3,1523.66,0,0.3,0
36,국류,올갱이국,600,144.26,13,13.7,4.2,1.6,2017.16,85.36,0.8,0
37,국류,우거지해장국,600,154.38,13.5,11.9,5.9,2.5,2049.59,22.37,1.2,0
38,국류,우렁된장국,500,245,19.2,24.6,7.7,3.6,2134.21,105.38,1.1,0
39,국류,탕국,250,92.15,0.24,13.18,4.27,0.08,656.75,30.12,1.01,0.07
40,국류,홍합미역국,650,167,11.6,19.7,4.7,0,2043.68,58.4,0.9,0
41,국류,황태해장국,600,181.7,5.7,24.5,6.8,1.5,1533.09,150.3,1.1,0
42,기타,고추잡채,200,256.77,26.17,10.99,12.01,2.09,828.55,39.26,2.11,0.08
43,기타,난자완스,200,346.25,19.15,21.63,20.35,0.5,703.23,76.76,4.59,0.24
44,기타,도토리묵말이,1300,462.39,89.7,6.8,8.5,6.3,3206.03,0,1.2,0
45,기타,라조기,200,398.99,26.23,20.66,23.49,0.15,648.52,90.58,5.15,0.16
46,기타,물회,700,529.36,55.3,34.4,18.9,20,2095.9,120.26,2.8,0.1
47,기타,생선물회,800,577.97,82.5,34.3,12.3,52,2779.74,101.88,2,0
48,기타,소고기샤브샤브,600,263.75,14.7,29.1,9.8,2.4,1122.4,76.02,3.7,0.3
49,기타,오징어순대,350,466.86,58.3,45.7,5.6,0.4,1258.71,517.44,1.4,0
50,기타,초당순두부,900,522.69,15.8,49.1,29.2,0.9,1203.36,0,3.8,0
51,기타,해파리냉채,150,91,13.4,6.2,1.4,11.4,508.77,40.33,0.3,0
52,김치류,고들빼기,50,55.53,10.93,1.58,0.61,2.84,742.43,2.98,0.07,0
53,김치류,열무얼갈이김치,50,17.68,2.61,1.07,0.33,0.46,339.9,1.03,0.04,0
54,나물류,미나리나물,50,29.53,2.24,1.02,1.83,0,150.33,0,0.25,0.01
55,나물류,취나물,50,74.1,3.31,1.38,6.15,0,281.86,0,0.84,0.03
56,나물류,콩나물,50,25.34,0.94,1.68,1.65,0.02,213.95,0,0.22,0.01
57,떡류,경단(깨),100,319.47,74.22,4.44,0.54,26.64,180,0,0.46,0
58,떡류,경단(콩),100,314.32,74.03,3.51,0.46,20.55,225.83,0,0.19,0
59,떡류,기피편,100,219.97,48.99,5.45,0.25,2.08,281.06,0,0.13,0
60,떡류,녹두시루떡,100,246.07,48.08,7.74,2.53,4.05,263.66,0,0.52,0
61,떡류,메밀전병,100,167.83,21.62,6.19,6.29,0.62,345.81,8.05,1.19,0.04
62,떡류,무지개떡,100,228.97,53.01,3.53,0.31,8.99,276.82,0,0.16,0
63,떡류,송편(깨),100,224.15,44.96,4.93,2.74,1.15,231.82,0,0.48,0
64,떡류,송편(콩),100,194.33,41.66,5.24,0.75,1.26,233.5,0,0.24,0
65,떡류,수수부꾸미,100,247.89,42.1,5.73,6.29,0.24,261,0,0.97,0.03
66,떡류,수수팥떡,100,204.24,43.03,6.7,0.59,2.82,241.93,0,0.17,0
67,떡류,시루떡,100,217.48,47.54,5.47,0.61,3.22,277.91,0,0.24,0
68,떡류,쑥떡,100,248.64,57.89,3.36,0.4,10.73,254.32,0,0.2,0
69,떡류,절편,100,192.89,43.94,3.64,0.29,0.07,265.87,0.03,0.19,0
70,떡류,찹쌀떡,100,276.87,65.61,3.27,0.15,17.54,225.61,0,0.15,0
71,면류,간자장,650,824.54,134.22,22.33,22.03,12.16,2716.2,28.73,9.71,0.24
72,면류,굴짬뽕,900,680.67,115.69,32.87,9.61,1.7,2662.35,163.31,1.41,0.04
73,면류,기스면,1000,606.93,89.79,37.82,10.72,0.5,2764.59,416.55,2.12,0
74,면류,김치라면,650,552,86.2,13.8,16.9,1.2,2531.6,45.65,6.8,0.1
75,면류,김치우동,800,500.18,99.14,15.55,4.6,2.13,2874.6,14.13,0.83,0
76,면류,냉김치말이국수,600,302.53,52,12.9,4.8,8.3,2121.62,88.95,1.1,0
77,면류,닭칼국수,900,663,94.7,42.2,12.8,5.3,2125.17,95.67,2.5,0
78,면류,둘깨칼국수,600,457.88,59.8,17.6,16.5,1.4,1192.57,3.36,1.5,0
79,면류,막국수,1000,571.59,109.8,20,5.8,9.4,3260.05,43.17,1,0
80,면류,삼선우동,1000,691.66,105.9,47.94,8.48,0.8,2722.32,620.9,2.02,0
81,면류,삼선자장면,700,803.9,126.53,33.64,18.14,10.15,2628.24,166.57,4.06,0.09
82,면류,삼선짬뽕,900,662.37,101.73,39.63,10.77,1.09,2689.13,312.48,1.91,0.02
83,면류,쌀국수,600,320.32,55.1,15.6,4.2,4.3,1651.58,33.6,1.4,0.1
84,면류,열무김치국수,800,431,69.6,15,10.2,18.6,3007.45,15.37,0.6,0.1
85,면류,열무냉면,800,525.49,97.52,20.84,5.78,27.15,3152.37,67.78,1.36,0
86,면류,오일소스스파게티,400,646.74,89.42,19.56,23.43,1.41,1124.33,31.62,3.89,0.05
87,면류,올갱이국수,1500,566,111.6,11.2,8.3,18.6,3862.84,0,1.5,0
88,면류,우동(일식),700,421.51,74.2,13.39,7.91,2.48,2390.32,25.98,1.49,0.01
89,면류,우동(중식),1000,648.47,85.37,29.45,21.02,1.1,3395.86,208.42,3.35,0.03
90,면류,울면,1000,728.86,128.18,37.46,7.37,0.5,2799.92,445.79,1.85,0.01
91,면류,자장면,650,796.5,133.63,19.77,20.32,7.8,2391.58,10.76,8.52,0.17
92,면류,짬뽕라면,750,689,92,21.3,26.3,1.6,2493.81,106.69,8.6,0.1
93,면류,치즈라면,600,595,80,16.8,23,0.9,2113.4,103.67,9.4,0.2
94,면류,크림소스스파게티,400,837.57,73.76,21.79,50.59,9.17,1030.21,126.58,25.67,1.01
95,면류,토마토소스스파게티,500,642.58,93.2,24.35,19.15,15.6,1508.63,49.17,5.44,0.21
96,면류,해물칼국수,900,628.26,123.9,22.8,4.61,3.81,2355.07,26.7,1.3,0.01
97,면류,해물크림소스스파게티,500,917.57,86.97,30.39,49.79,8.36,1323.7,210.89,24.73,0.94
98,면류,해물토마토소스스파게티,500,584.44,87.24,27.97,13.73,13.48,1533.16,159.64,3.14,0.07
99,무침류,골뱅이무침,100,108.79,15.69,7.08,1.97,10.47,525.52,38.35,0.26,0.02
100,무침류,노각무침,150,84,14.3,2.6,1.8,7.1,817.37,0,0.2,0
101,무침류,단무지무침,50,20,2.8,0.5,0.8,0.7,428.92,0,0.1,0
102,무침류,달래나물무침,150,136,23.8,4,2.8,11.2,867.04,0,0.3,0
103,무침류,더덕무침,150,216,43.4,4.3,2.8,20.2,1246.58,0.17,0.4,0
104,무침류,도토리묵,100,45.6,10.38,0.29,0.32,0.43,124.15,0,0.03,0
105,무침류,밴댕이무침,400,600.01,46,29.8,33,27,1027.23,101.51,4.6,0.2
106,무침류,서대회무침,300,315.21,45.9,22.6,4.6,22.3,1198.9,67.71,0.5,0
107,무침류,쑥갓나물무침,150,96,6.6,4.5,5.7,0.3,709.99,0.05,0.7,0
